BPUIC1;BPUIC2;DISTANCE
8503096;8503095;0.8427
8508159;8508158;0.5237
8504470;8504472;1.3725
8509197;8509198;5.3146
8508003;8508001;5.1872
8503201;8503202;1.4513
8501950;8501951;7.712
8501087;8501088;1.4759
8506135;8506134;2.4179
8507074;8507073;2.8556
8509076;8509077;3.6318
8530463;8501453;0.3101
8501155;8501156;1.4105
8504465;8504466;1.8907
8501165;8501166;1.5748
8504010;8504000;1.6369
8506383;8506384;0.9493
8504102;8504113;2.4835
8506013;8506014;3.2483
8503103;8503111;2.0299
8504411;8504412;5.5657
8501726;8530366;0.911
8503526;8503008;3.3495
8504025;8504026;2.7979
8502034;8502029;3.0604
8508153;8508193;0.3975
8506005;8506006;2.1715
8500309;8502237;4.2374
8509259;8509258;2.0517
8503147;8503003;5.3502
8504086;8504023;13.6007
8501668;8501669;1.6028
8508168;8508163;0.5245
8504125;8504124;2.5318
8503426;8503427;2.0475
8505207;8505205;12.9149
8507065;8507066;1.7768
8506389;8506379;1.4848
8503207;8503206;3.4855
8504226;8504228;5.9274
8506215;8506216;4.6638
8505165;8505170;1.3818
8509177;8509178;2.2338
8504510;8530711;0.9903
8502128;8502115;1.6554
8508213;8508212;2.2196
8504509;8530710;0.7561
8501023;8501015;1.2217
8509184;8509185;1.185
8501120;8501121;2.506
8507008;8507007;2.5705
8505585;8505590;1.1943
8507380;8505226;1.2476
8502028;8502017;4.6284
8501674;8501673;2.3575
8509152;8509153;3.1038
